instruNet waves in merged TEXT form #2

Notes:	
Date & Time:	01/20/2020	17:38:52
ChanName:	Ch1 Vin+	Ch4 Vin+
UserName:	Ch1 Vin+	Ch4 Vin+
vUnits:	Volts	Volts
hUnits:	Secs	Secs
PtsPerScan:	0000010000	0000010000
NumScansBeforeLastScan:	0000000000	0000000000
PtsInLastScan:	0000010000	0000010000
1stPtTime:	+0.000000000e+000	+0.000000000e+000
SamplePeriod:	+2.000000000e-001	+2.000000000e-001
netNum:	01	01
devNum:	01	01
modNum:	01	01
chNum:	001	004
BytesPerRow:	-1	-1
FirstDataByte:	-1	-1
key:	21940	21940
1904secs:	3662402482	3662402482
DataType:	+05	+05
Internal1:	+5.000000000e+000	+5.000000000e+000
External1:	+5.000000000e+000	+5.000000000e+000
Internal2:	-5.000000000e+000	-5.000000000e+000
External2:	-5.000000000e+000	-5.000000000e+000
Secs	Ch1 Vin+	Ch4 Vin+
+3.1600000e+1	+1.0860604e+0	+0.1358229e-2
+3.1800000e+1	+1.0708011e+0	+0.1391526e-2
+3.2000000e+1	+1.0793463e+0	+0.1382013e-2
+3.2200000e+1	+1.0695803e+0	+0.1370121e-2
+3.2400000e+1	+1.0677493e+0	+0.1339202e-2
+3.2600000e+1	+1.0799567e+0	+0.1362985e-2
+3.2800000e+1	+1.0775152e+0	+0.1386769e-2
+3.3000000e+1	+1.0640870e+0	+0.1371310e-2
+3.3200000e+1	+1.0720218e+0	+0.1391526e-2
+3.3400000e+1	+1.0732425e+0	+0.1371310e-2
+3.3600000e+1	+1.0671389e+0	+0.1334445e-2
+3.3800000e+1	+1.0744634e+0	+0.1329688e-2
+3.4000000e+1	+1.0762944e+0	+0.1362985e-2
+3.4200000e+1	+1.0744634e+0	+0.1359418e-2
+3.4400000e+1	+1.0732425e+0	+0.1352283e-2
+3.4600000e+1	+1.0775152e+0	+0.1371310e-2
+3.4800000e+1	+1.0878916e+0	+0.1354661e-2
+3.5000000e+1	+1.0781256e+0	+0.1374877e-2
+3.5200000e+1	+1.0750737e+0	+0.1362985e-2
+3.5400000e+1	+1.0836189e+0	+0.1367742e-2
+3.5600000e+1	+1.0836189e+0	+0.1401040e-2
+3.5800000e+1	+1.0775152e+0	+0.1351094e-2
+3.6000000e+1	+1.0860604e+0	+0.1374877e-2
+3.6200000e+1	+1.0793463e+0	+0.1352283e-2
+3.6400000e+1	+1.0732425e+0	+0.1390337e-2
+3.6600000e+1	+1.0878916e+0	+0.1374877e-2
+3.6800000e+1	+1.0726322e+0	+0.1376067e-2
+3.7000000e+1	+1.0872811e+0	+0.1386769e-2
+3.7200000e+1	+1.0854501e+0	+0.1354661e-2
+3.7400000e+1	+1.0787359e+0	+0.1342769e-2
+3.7600000e+1	+1.0903330e+0	+0.1352283e-2
+3.7800000e+1	+1.0878916e+0	+0.1385580e-2
+3.8000000e+1	+1.0793463e+0	+0.1370121e-2
+3.8200000e+1	+1.0842294e+0	+0.1352283e-2
+3.8400000e+1	+1.0897226e+0	+0.1351094e-2
+3.8600000e+1	+1.0744634e+0	+0.1379634e-2
+3.8800000e+1	+1.0799567e+0	+0.1367742e-2
+3.9000000e+1	+1.0854501e+0	+0.1383202e-2
+3.9200000e+1	+1.0708011e+0	+0.1351094e-2
+3.9400000e+1	+1.0799567e+0	+0.1370121e-2
+3.9600000e+1	+1.0750737e+0	+0.1379634e-2
+3.9800000e+1	+1.0799567e+0	+0.1389148e-2
+4.0000000e+1	+1.0750737e+0	+0.1385580e-2
+4.0200000e+1	+1.0714115e+0	+0.1401040e-2
+4.0400000e+1	+1.0775152e+0	+0.1355850e-2
+4.0600000e+1	+1.0726322e+0	+0.1357040e-2
+4.0800000e+1	+1.0799567e+0	+0.1353472e-2
+4.1000000e+1	+1.0854501e+0	+0.1401040e-2
+4.1200000e+1	+1.0775152e+0	+0.1349904e-2
+4.1400000e+1	+1.0750737e+0	+0.1371310e-2
+4.1600000e+1	+1.0830085e+0	+0.1360607e-2
+4.1800000e+1	+1.0750737e+0	+0.1362985e-2
+4.2000000e+1	+1.0750737e+0	+0.1362985e-2
+4.2200000e+1	+1.0762944e+0	+0.1352283e-2
+4.2400000e+1	+1.0732425e+0	+0.1389148e-2
+4.2600000e+1	+1.0799567e+0	+0.1342769e-2
+4.2800000e+1	+1.0677493e+0	+0.1362985e-2
+4.3000000e+1	+1.0701907e+0	+0.1360607e-2
+4.3200000e+1	+1.0720218e+0	+0.1365364e-2
+4.3400000e+1	+1.0732425e+0	+0.1324931e-2
+4.3600000e+1	+1.0677493e+0	+0.1371310e-2
+4.3800000e+1	+1.0732425e+0	+0.1358229e-2
+4.4000000e+1	+1.0732425e+0	+0.1348715e-2
+4.4200000e+1	+1.0720218e+0	+0.1360607e-2
+4.4400000e+1	+1.0732425e+0	+0.1384391e-2
+4.4600000e+1	+1.0793463e+0	+0.1336823e-2
+4.4800000e+1	+1.0854501e+0	+0.1354661e-2
+4.5000000e+1	+1.0732425e+0	+0.1339202e-2
+4.5200000e+1	+1.0665284e+0	+0.1347526e-2
+4.5400000e+1	+1.0811775e+0	+0.1401040e-2
+4.5600000e+1	+1.0732425e+0	+0.1360607e-2
+4.5800000e+1	+1.0683596e+0	+0.1371310e-2
+4.6000000e+1	+1.0775152e+0	+0.1362985e-2
+4.6200000e+1	+1.0695803e+0	+0.1346337e-2
